"Latest: Time (s)","Latest: Pressure (kPa)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)"
0,101.367461822,0,0,0
0.05,101.446365019,0,0,0
0.1,101.446365019,0,0,0
0.15,101.446365019,0,0,0
0.2,101.446365019,0,0,0
0.25,101.446365019,0,0,0
0.3,101.446365019,0,0,0
0.35,101.446365019,0,0,0
0.4,101.446365019,0,0,0
0.45,101.446365019,0,0,0
0.5,101.446365019,0,0,0
0.55,101.446365019,0,0,0
0.6,101.446365019,0,0,0
0.65,101.446365019,0,0,0
0.7,101.446365019,0,0,0
0.75,101.367461822,0,0,0
0.8,101.446365019,0,0,0
0.85,101.446365019,0,0,0
0.9,101.446365019,0,0,0
0.95,101.446365019,0,0,0
1,101.446365019,0,0,0
1.05,101.446365019,0,0,0
1.1,101.446365019,0,0,0
1.15,101.446365019,0,0,0
1.2,101.446365019,0,0,0
1.25,101.446365019,0,0,0
1.3,101.367461822,0,0,0
1.35,101.367461822,0,0,0
1.4,101.130752231,0,0,0
1.45,100.105010672,0,0,0
1.5,98.1324307513,0,0,0
1.55,96.0770024735,0,0,0
1.6,93.6310033713,0,0,0
1.65,91.1810591093,0,0,0
1.7,88.8928664008,0,0,0
1.75,86.6007285324,0,0,0
1.8,84.4703422176,0,0,0
1.85,82.4188590996,0,0,0
1.9,80.4423340186,0,0,0
1.95,78.5486572944,0,0,0
2,76.7299386071,0,0,0
2.05,75.0729714733,0,0,0
2.1,73.4949075364,0,0,0
2.15,71.8339952428,0,0,0
2.2,70.2559313059,0,0,0
2.25,68.8356737627,0,0,0
2.3,67.4154162195,0,0,0
2.35,65.9912135164,0,0,0
2.4,64.6498591701,0,0,0
2.45,63.3085048237,0,0,0
2.5,61.9632053175,0,0,0
2.55,60.7796573648,0,0,0
2.6,59.7539158058,0,0,0
2.65,58.5703678532,0,0,0
2.7,57.5446262942,0,0,0
2.75,56.5149395753,0,0,0
2.8,55.4102948195,0,0,0
2.85,54.4634564574,0,0,0
2.9,53.5166180952,0,0,0
2.95,52.5697797331,0,0,0
3,51.5400930142,0,0,0
3.05,50.672157849,0,0,0
3.1,49.8042226837,0,0,0
3.15,49.0151907152,0,0,0
3.2,48.2261587468,0,0,0
3.25,47.3582235815,0,0,0
3.3,46.4863432563,0,0,0
3.35,45.6973112879,0,0,0
3.4,44.9082793194,0,0,0
3.45,44.1981505478,0,0,0
3.5,43.4880217762,0,0,0
3.55,42.7778930046,0,0,0
3.6,42.067764233,0,0,0
3.65,41.3536903015,0,0,0
3.7,40.7224647268,0,0,0
3.75,40.0123359552,0,0,0
3.8,39.3811103804,0,0,0
3.85,38.7498848056,0,0,0
3.9,38.1975624277,0,0,0
3.95,37.566336853,0,0,0
4,37.0929176719,0,0,0
4.05,36.5366501341,0,0,0
4.1,35.9843277562,0,0,0
4.15,35.4320053783,0,0,0
4.2,34.9585861972,0,0,0
4.25,34.4851670162,0,0,0
4.3,34.0117478351,0,0,0
4.35,33.6172318509,0,0,0
4.4,33.1438126698,0,0,0
4.45,32.5914902919,0,0,0
4.5,32.1969743076,0,0,0
4.55,31.8024583234,0,0,0
4.6,31.3250939825,0,0,0
4.65,30.9305779983,0,0,0
4.7,30.5360620141,0,0,0
4.75,30.1415460298,0,0,0
4.8,29.8259332424,0,0,0
4.85,29.5103204551,0,0,0
4.9,29.1947076677,0,0,0
4.95,28.8790948803,0,0,0
5,28.5634820929,0,0,0
5.05,28.2478693055,0,0,0
5.1,27.8533533213,0,0,0
5.15,27.6166437308,0,0,0
5.2,27.3010309434,0,0,0
5.25,26.985418156,0,0,0
5.3,26.586957012,0,0,0
5.35,26.3502474214,0,0,0
5.4,26.1135378309,0,0,0
5.45,25.7979250435,0,0,0
5.5,25.6401186498,0,0,0
5.55,25.3245058624,0,0,0
5.6,25.0877962719,0,0,0
5.65,24.8510866814,0,0,0
5.7,24.535473894,0,0,0
5.75,24.2987643034,0,0,0
5.8,23.9831515161,0,0,0
5.85,23.7464419255,0,0,0
5.9,23.509732335,0,0,0
5.95,23.2730227445,0,0,0
6,23.0363131539,0,0,0
6.05,22.7996035634,0,0,0
6.1,22.5628939728,0,0,0
6.15,22.3261843823,0,0,0
6.2,22.0894747918,0,0,0
6.25,21.8527652012,0,0,0
6.3,21.6121104509,0,0,0
6.35,21.3754008603,0,0,0
6.4,21.2175944666,0,0,0
6.45,20.9019816793,0,0,0
6.5,20.7441752856,0,0,0
6.55,20.4285624982,0,0,0
6.6,20.2707561045,0,0,0
6.65,20.034046514,0,0,0
6.7,19.8762401203,0,0,0
6.75,19.6395305297,0,0,0
6.8,19.4028209392,0,0,0
6.85,19.2450145455,0,0,0
6.9,18.9294017581,0,0,0
6.95,18.7715953644,0,0,0
7,18.6137889707,0,0,0
7.05,18.3770793802,0,0,0
7.1,18.2192729865,0,0,0
7.15,17.982563396,0,0,0
7.2,17.8247570023,0,0,0
7.25,17.6669506086,0,0,0
7.3,17.4302410181,0,0,0
7.35,17.1935314275,0,0,0
7.4,17.1146282307,0,0,0
7.45,16.8779186402,0,0,0
7.5,16.7201122465,0,0,0
7.55,16.5583606929,0,0,0
7.6,16.3216511024,0,0,0
7.65,16.1638447087,0,0,0
7.7,15.9271351182,0,0,0
7.75,15.7693287245,0,0,0
7.8,15.6115223308,0,0,0
7.85,15.4537159371,0,0,0
7.9,15.2959095434,0,0,0
7.95,15.1381031497,0,0,0
8,14.980296756,0,0,0
8.05,14.8224903623,0,0,0
8.1,14.6646839686,0,0,0
8.15,14.506877575,0,0,0
8.2,14.3490711813,0,0,0
8.25,14.1123615907,0,0,0
8.3,13.954555197,0,0,0
8.35,13.8756520002,0,0,0
8.4,13.7967488033,0,0,0
8.45,13.5600392128,0,0,0
8.5,13.4022328191,0,0,0
8.55,13.2444264254,0,0,0
8.6,13.0866200317,0,0,0
8.65,13.0077168349,0,0,0
8.7,12.928813638,0,0,0
8.75,12.7710072444,0,0,0
8.8,12.6132008507,0,0,0
8.85,12.455394457,0,0,0
8.9,12.3764912601,0,0,0
8.95,12.2975880633,0,0,0
9,12.1397816696,0,0,0
9.05,11.9819752759,0,0,0
9.1,11.9030720791,0,0,0
9.15,11.7452656854,0,0,0
9.2,11.5874592917,0,0,0
9.25,11.504610935,0,0,0
9.3,11.3468045413,0,0,0
9.35,11.1889981476,0,0,0
9.4,11.1100949508,0,0,0
9.45,11.0311917539,0,0,0
9.5,10.9522885571,0,0,0
9.55,10.7944821634,0,0,0
9.6,10.7155789665,0,0,0
9.65,10.6366757697,0,0,0
9.7,10.478869376,0,0,0
9.75,10.3999661792,0,0,0
9.8,10.3210629823,0,0,0
9.85,10.2421597855,0,0,0
9.9,10.0843533918,0,0,0
9.95,10.0054501949,0,0,0
10,9.84764380124,0,0,0
10.05,9.7687406044,0,0,0
10.1,9.68983740755,0,0,0
10.15,9.61093421071,0,0,0
10.2,9.45312781702,0,0,0
10.25,9.45312781702,0,0,0
10.3,9.37422462017,0,0,0
10.35,9.29532142333,0,0,0
10.4,9.21641822648,0,0,0
10.45,9.05861183279,0,0,0
10.5,9.05861183279,0,0,0
10.55,8.97970863595,0,0,0
10.6,8.82190224226,0,0,0
10.65,8.82190224226,0,0,0
10.7,8.66409584857,0,0,0
10.75,8.66409584857,0,0,0
10.8,8.50628945488,0,0,0
10.85,8.50628945488,0,0,0
10.9,8.42738625803,0,0,0
10.95,8.34848306119,0,0,0
11,8.26957986434,0,0,0
11.05,8.11177347065,0,0,0
11.1,7.95396707696,0,0,0
11.15,7.87506388011,0,0,0
11.2,7.71725748642,0,0,0
11.25,7.79616068327,0,0,0
11.3,7.63835428958,0,0,0
11.35,7.55945109273,0,0,0
11.4,7.55945109273,0,0,0
11.45,7.48054789589,0,0,0
11.5,7.40164469904,0,0,0
11.55,7.40164469904,0,0,0
11.6,7.3227415022,0,0,0
11.65,7.24383830535,0,0,0
11.7,7.16493510851,0,0,0
11.75,7.16493510851,0,0,0
11.8,7.08603191166,0,0,0
11.85,7.00712871482,0,0,0
