"Latest: Time (s)","Latest: Pressure (kPa)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)"
0,101.182039309,0,0,0
0.05,101.182039309,0,0,0
0.1,101.260942506,0,0,0
0.15,101.260942506,0,0,0
0.2,101.103136113,0,0,0
0.25,101.182039309,0,0,0
0.3,101.182039309,0,0,0
0.35,101.182039309,0,0,0
0.4,101.260942506,0,0,0
0.45,101.182039309,0,0,0
0.5,101.182039309,0,0,0
0.55,101.182039309,0,0,0
0.6,101.182039309,0,0,0
0.65,101.182039309,0,0,0
0.7,101.182039309,0,0,0
0.75,101.182039309,0,0,0
0.8,101.182039309,0,0,0
0.85,101.182039309,0,0,0
0.9,101.182039309,0,0,0
0.95,101.182039309,0,0,0
1,101.182039309,0,0,0
1.05,101.182039309,0,0,0
1.1,101.182039309,0,0,0
1.15,101.182039309,0,0,0
1.2,101.260942506,0,0,0
1.25,101.182039309,0,0,0
1.3,101.182039309,0,0,0
1.35,101.182039309,0,0,0
1.4,101.182039309,0,0,0
1.45,101.182039309,0,0,0
1.5,101.182039309,0,0,0
1.55,101.182039309,0,0,0
1.6,101.182039309,0,0,0
1.65,101.182039309,0,0,0
1.7,101.182039309,0,0,0
1.75,101.182039309,0,0,0
1.8,101.182039309,0,0,0
1.85,101.182039309,0,0,0
1.9,101.182039309,0,0,0
1.95,101.182039309,0,0,0
2,101.182039309,0,0,0
2.05,101.182039309,0,0,0
2.1,101.182039309,0,0,0
2.15,101.182039309,0,0,0
2.2,101.182039309,0,0,0
2.25,101.182039309,0,0,0
2.3,101.182039309,0,0,0
2.35,101.182039309,0,0,0
2.4,101.182039309,0,0,0
2.45,101.182039309,0,0,0
2.5,101.182039309,0,0,0
2.55,100.629716931,0,0,0
2.6,99.2883625851,0,0,0
2.65,97.3986310207,0,0,0
2.7,96.0572766743,0,0,0
2.75,94.7159223279,0,0,0
2.8,93.2167615879,0,0,0
2.85,92.1121168321,0,0,0
2.9,90.612956092,0,0,0
2.95,89.4294081393,0,0,0
3,88.2498053465,0,0,0
3.05,86.987354197,0,0,0
3.1,86.1194190317,0,0,0
3.15,84.7780646853,0,0,0
3.2,83.8312263231,0,0,0
3.25,82.7265815673,0,0,0
3.3,81.6219368115,0,0,0
3.35,80.8368500029,0,0,0
3.4,79.6533020502,0,0,0
3.45,78.7064636881,0,0,0
3.5,77.8385285228,0,0,0
3.55,76.8916901606,0,0,0
3.6,76.0237549953,0,0,0
3.65,74.9980134363,0,0,0
3.7,74.0511750742,0,0,0
3.75,73.3410463026,0,0,0
3.8,72.3192499034,0,0,0
3.85,71.530217935,0,0,0
3.9,70.504476376,0,0,0
3.95,69.7154444075,0,0,0
4,69.0053156359,0,0,0
4.05,68.1373804706,0,0,0
4.1,67.427251699,0,0,0
4.15,66.4804133369,0,0,0
4.2,65.7702845653,0,0,0
4.25,65.1430041504,0,0,0
4.3,64.2750689851,0,0,0
4.35,63.4860370166,0,0,0
4.4,62.775908245,0,0,0
4.45,61.9079730797,0,0,0
4.5,61.3556507018,0,0,0
4.55,60.5666187333,0,0,0
4.6,59.9353931586,0,0,0
4.65,59.225264387,0,0,0
4.7,58.5151356154,0,0,0
4.75,57.9628132374,0,0,0
4.8,57.173781269,0,0,0
4.85,56.6254040509,0,0,0
4.9,55.9941784762,0,0,0
4.95,55.2840497046,0,0,0
5,54.7317273266,0,0,0
5.05,54.1794049487,0,0,0
5.1,53.548179374,0,0,0
5.15,52.995856996,0,0,0
5.2,52.3646314213,0,0,0
5.25,51.8123090434,0,0,0
5.3,51.1810834686,0,0,0
5.35,50.6287610907,0,0,0
5.4,50.1553419096,0,0,0
5.45,49.5241163349,0,0,0
5.5,49.0506971538,0,0,0
5.55,48.5023199357,0,0,0
5.6,47.9499975578,0,0,0
5.65,47.3976751799,0,0,0
5.7,46.7664496051,0,0,0
5.75,46.3719336209,0,0,0
5.8,45.819611243,0,0,0
5.85,45.2672888651,0,0,0
5.9,44.8727728808,0,0,0
5.95,44.3204505029,0,0,0
6,43.8470313218,0,0,0
6.05,43.3736121408,0,0,0
6.1,42.9001929597,0,0,0
6.15,42.4267737786,0,0,0
6.2,41.9533545976,0,0,0
6.25,41.4799354165,0,0,0
6.3,41.0065162354,0,0,0
6.35,40.5370422142,0,0,0
6.4,40.14252623,0,0,0
6.45,39.5113006552,0,0,0
6.5,39.1956878678,0,0,0
6.55,38.7222686867,0,0,0
6.6,38.3277527025,0,0,0
6.65,37.9332367183,0,0,0
6.7,37.4598175372,0,0,0
6.75,36.9863983562,0,0,0
6.8,36.6707855688,0,0,0
6.85,36.1973663877,0,0,0
6.9,35.8028504035,0,0,0
6.95,35.4083344192,0,0,0
7,35.013818435,0,0,0
7.05,34.540399254,0,0,0
7.1,34.1458832697,0,0,0
7.15,33.8302704823,0,0,0
7.2,33.3568513013,0,0,0
7.25,33.0412385139,0,0,0
7.3,32.7295708864,0,0,0
7.35,32.3350549021,0,0,0
7.4,32.0194421147,0,0,0
7.45,31.6249261305,0,0,0
7.5,31.2304101463,0,0,0
7.55,30.9147973589,0,0,0
7.6,30.5202813747,0,0,0
7.65,30.2046685873,0,0,0
