"Latest: Time (s)","Latest: Pressure (kPa)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)"
0,101.182039309,0,0,0
0.05,101.182039309,0,0,0
0.1,101.182039309,0,0,0
0.15,101.103136113,0,0,0
0.2,101.182039309,0,0,0
0.25,101.182039309,0,0,0
0.3,101.182039309,0,0,0
0.35,101.182039309,0,0,0
0.4,101.182039309,0,0,0
0.45,101.103136113,0,0,0
0.5,101.182039309,0,0,0
0.55,101.182039309,0,0,0
0.6,101.182039309,0,0,0
0.65,101.182039309,0,0,0
0.7,101.182039309,0,0,0
0.75,101.182039309,0,0,0
0.8,101.182039309,0,0,0
0.85,101.182039309,0,0,0
0.9,101.182039309,0,0,0
0.95,101.182039309,0,0,0
1,101.182039309,0,0,0
1.05,101.182039309,0,0,0
1.1,101.182039309,0,0,0
1.15,101.182039309,0,0,0
1.2,101.182039309,0,0,0
1.25,101.103136113,0,0,0
1.3,101.182039309,0,0,0
1.35,101.103136113,0,0,0
1.4,101.182039309,0,0,0
1.45,101.182039309,0,0,0
1.5,101.103136113,0,0,0
1.55,101.103136113,0,0,0
1.6,101.182039309,0,0,0
1.65,101.103136113,0,0,0
1.7,101.182039309,0,0,0
1.75,101.103136113,0,0,0
1.8,101.182039309,0,0,0
1.85,101.182039309,0,0,0
1.9,101.103136113,0,0,0
1.95,101.182039309,0,0,0
2,101.103136113,0,0,0
2.05,101.182039309,0,0,0
2.1,101.182039309,0,0,0
2.15,101.182039309,0,0,0
2.2,101.182039309,0,0,0
2.25,101.182039309,0,0,0
2.3,101.182039309,0,0,0
2.35,99.9195881599,0,0,0
2.4,98.1048146324,0,0,0
2.45,96.2939862648,0,0,0
2.5,94.7159223279,0,0,0
2.55,93.0589551942,0,0,0
2.6,91.4808912573,0,0,0
2.65,90.1395369109,0,0,0
2.7,88.5654181339,0,0,0
2.75,87.2240637875,0,0,0
2.8,85.6459998506,0,0,0
2.85,84.3835487011,0,0,0
2.9,83.1210975515,0,0,0
2.95,81.7008400083,0,0,0
3,80.6001404123,0,0,0
3.05,79.1798828691,0,0,0
3.1,78.0752381133,0,0,0
3.15,76.8127869638,0,0,0
3.2,75.7081422079,0,0,0
3.25,74.6824006489,0,0,0
3.3,73.5777558931,0,0,0
3.35,72.555959494,0,0,0
3.4,71.2935083444,0,0,0
3.45,70.2677667855,0,0,0
3.5,69.3998316202,0,0,0
3.55,68.3740900612,0,0,0
3.6,67.5850580927,0,0,0
3.65,66.5593165337,0,0,0
3.7,65.6124781716,0,0,0
3.75,64.7484881661,0,0,0
3.8,63.801649804,0,0,0
3.85,62.9337146387,0,0,0
3.9,62.0657794734,0,0,0
3.95,61.2767475049,0,0,0
4,60.3299091428,0,0,0
4.05,59.6197803712,0,0,0
4.1,58.8307484027,0,0,0
4.15,57.9628132374,0,0,0
4.2,57.2526844658,0,0,0
4.25,56.4675976572,0,0,0
4.3,55.7574688856,0,0,0
4.35,55.047340114,0,0,0
4.4,54.2583081456,0,0,0
4.45,53.7059857677,0,0,0
4.5,52.9169537992,0,0,0
4.55,52.2857282244,0,0,0
4.6,51.5755994528,0,0,0
4.65,50.9443738781,0,0,0
4.7,50.3131483033,0,0,0
4.75,49.6030195317,0,0,0
4.8,49.0506971538,0,0,0
4.85,48.4234167389,0,0,0
4.9,47.7921911641,0,0,0
4.95,47.2398687862,0,0,0
5,46.5297400146,0,0,0
5.05,45.8985144398,0,0,0
5.1,45.3461920619,0,0,0
5.15,44.793869684,0,0,0
5.2,44.2415473061,0,0,0
5.25,43.6103217313,0,0,0
5.3,43.1369025502,0,0,0
5.35,42.5845801723,0,0,0
5.4,42.1111609912,0,0,0
5.45,41.5588386133,0,0,0
5.5,40.9315581984,0,0,0
5.55,40.4581390173,0,0,0
5.6,39.9847198363,0,0,0
5.65,39.4323974584,0,0,0
5.7,38.9589782773,0,0,0
5.75,38.4855590962,0,0,0
5.8,38.0121399151,0,0,0
5.85,37.5387207341,0,0,0
5.9,37.065301553,0,0,0
5.95,36.6707855688,0,0,0
6,36.1973663877,0,0,0
6.05,35.8028504035,0,0,0
6.1,35.3294312224,0,0,0
6.15,34.9349152382,0,0,0
6.2,34.4614960571,0,0,0
6.25,34.0669800729,0,0,0
6.3,33.6724640887,0,0,0
6.35,33.2779481044,0,0,0
6.4,32.8834321202,0,0,0
6.45,32.413958099,0,0,0
6.5,32.0194421147,0,0,0
6.55,31.5460229337,0,0,0
6.6,31.1515069494,0,0,0
6.65,30.8358941621,0,0,0
6.7,30.4413781778,0,0,0
6.75,30.0468621936,0,0,0
6.8,29.8101526031,0,0,0
6.85,29.4156366189,0,0,0
6.9,29.0211206346,0,0,0
6.95,28.6266046504,0,0,0
7,28.310991863,0,0,0
7.05,28.0742822725,0,0,0
7.1,27.7586694851,0,0,0
7.15,27.3641535009,0,0,0
7.2,27.0485407135,0,0,0
7.25,26.7329279261,0,0,0
7.3,26.4173151387,0,0,0
7.35,26.1017023514,0,0,0
7.4,25.786089564,0,0,0
7.45,25.5493799734,0,0,0
7.5,25.2337671861,0,0,0
7.55,24.9181543987,0,0,0
7.6,24.6064867711,0,0,0
